foundid,id,name,party,partyLabel,votes,election,electionLabel,ranking
,Q30164451,Stephanie Peacock,Q9630,Labour Party (UK),14329,Q30173038,General election 2019,1
Q76729329,,Jim Ferguson,Q61651140,Brexit Party,11112,Q30173038,General election 2019,2
Q76363476,,Adam Gregg,Q9626,Conservative Party (UK),10377,Q30173038,General election 2019,3
Q63929126,,Sophie Thornton,Q9624,Liberal Democrats (UK),1330,Q30173038,General election 2019,4
Q75974889,,Richard Trotman,Q9669,Green Party of England and Wales,922,Q30173038,General election 2019,5
,Q30164451,Stephanie Peacock,Q9630,Labour Party (UK),24280,Q25052149,General election 2017,1
,,Andrew Lloyd,Q9626,Conservative Party (UK),10997,Q25052149,General election 2017,2
,,James Dalton,Q10647,UK Independence Party,3247,Q25052149,General election 2017,3
,,Tony Devoy,Q17059489,Yorkshire Party,1215,Q25052149,General election 2017,4
,,Nicola Turner,Q9624,Liberal Democrats (UK),750,Q25052149,General election 2017,5
,,Kevin Riddiough,Q2479228,English Democrats,287,Q25052149,General election 2017,6
,Q302363,Michael Dugher,Q9630,Labour Party (UK),21079,Q3586935,General election 2015,1
,,Robert Swiffen,Q10647,UK Independence Party,9045,Q3586935,General election 2015,2
,,Katharine Harborne,Q9626,Conservative Party (UK),5622,Q3586935,General election 2015,3
Q63929088,,Ruth Coleman-Taylor,Q9624,Liberal Democrats (UK),1217,Q3586935,General election 2015,4
,,Tony Devoy,Q17059489,Yorkshire First,647,Q3586935,General election 2015,5
,,Kevin Riddiough,Q2479228,English Democrats,440,Q3586935,General election 2015,6
,,Ralph Dyson,Q980923,Trade Unionist and Socialist Coalition,364,Q3586935,General election 2015,7
,,Billy Marsden,Q39936439,Vapers in Power,103,Q3586935,General election 2015,8
,Q302363,Michael Dugher,Q9630,Labour Party (UK),18059,Q215622,General election 2010,1
,,John Brown,Q9624,Liberal Democrats (UK),6969,Q215622,General election 2010,2
,,James Hockney,Q9626,Conservative Party (UK),6329,Q215622,General election 2010,3
,,Colin Porter,Q161269,British National Party,3301,Q215622,General election 2010,4
,,Tony Watson,Q10647,UK Independence Party,1731,Q215622,General election 2010,5
,,Kevin Hogan,Q327591,Independent (politician),712,Q215622,General election 2010,6
,,Eddie Devoy,Q327591,Independent (politician),684,Q215622,General election 2010,7
,,Ken Capstick,Q3491460,Socialist Labour Party (UK),601,Q215622,General election 2010,8
,Q6175967,Jeff Ennis,Q9630,Labour Party (UK),13683,Q4861920,1996 Barnsley East by-election,1
,,David Willis,Q9624,Liberal Democrats (UK),1502,Q4861920,1996 Barnsley East by-election,2
,Q303157,Jane Ellison,Q9626,Conservative Party (UK),1299,Q4861920,1996 Barnsley East by-election,3
,,Ken Capstick,Q3491460,Socialist Labour Party (UK),949,Q4861920,1996 Barnsley East by-election,4
,Q1401336,Nikolai Tolstoy,Q10647,UK Independence Party,378,Q4861920,1996 Barnsley East by-election,5
,,Julie Hyland,Q1634168,Socialist Equality Party (UK),89,Q4861920,1996 Barnsley East by-election,6
,Q7704900,Terry Patchett,Q9630,Labour Party (UK),30346,Q543609,General election 1992,1
,,John M. Procter,Q9626,Conservative Party (UK),5569,Q543609,General election 1992,2
,,Sylvia Anginotti,Q9624,Liberal Democrats (UK),3399,Q543609,General election 1992,3
,Q7704900,Terry Patchett,Q9630,Labour Party (UK),29948,Q918472,General election 1987,1
,Q271750,James Clappison,Q9626,Conservative Party (UK),5437,Q918472,General election 1987,2
,,Geoffrey Griffiths,Q622441,Liberal Party (UK),4482,Q918472,General election 1987,3
,Q7704900,Terry Patchett,Q9630,Labour Party (UK),23905,Q918466,General election 1983,1
,,Peter Tomlinson,Q622441,Liberal Party (UK),6413,Q918466,General election 1983,2
,,George England,Q9626,Conservative Party (UK),5749,Q918466,General election 1983,3
